temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),ET₀ (mm),wind_speed_10m (km/h),soil_temperature_28_to_100cm (°C),soil_moisture_28_to_100cm (m³/m³),shortwave_radiation_instant (W/m²),crop,Kc,ETc (mm),soil_deficit,irrigation_need,irrigation_amount,month,quarter
29.03333333333333,83.0,6.3999999999999995,4.39,4.6625000000000005,28.5,0.314625,5665.0,Maize,0.4,1.756,-4.643999999999999,False,0.0,8,3
28.270833333333332,84.20833333333333,8.200000000000001,4.49,6.529166666666666,28.55416666666667,0.31079166666666663,5853.400000000001,Maize,0.4,1.7960000000000003,-6.404000000000001,False,0.0,8,3
28.47083333333333,82.33333333333333,1.7,4.48,6.629166666666666,28.504166666666666,0.31033333333333335,5812.7,Maize,0.4,1.7920000000000003,0.0920000000000003,False,0.0,8,3
29.133333333333336,78.95833333333333,2.4,4.65,6.420833333333333,28.5,0.3102916666666667,5897.400000000001,Maize,0.4,1.8600000000000003,-0.5399999999999996,False,0.0,8,3
28.866666666666664,82.54166666666667,0.6,4.68,5.595833333333334,28.520833333333332,0.3092916666666667,6016.5,Maize,0.4,1.8719999999999999,1.2719999999999998,False,0.0,8,3
28.5,85.875,4.2,4.07,5.429166666666667,28.600000000000005,0.3065,5199.8,Maize,0.4,1.6280000000000001,-2.572,False,0.0,8,3
28.4375,84.75,4.4,4.03,5.983333333333333,28.516666666666666,0.30420833333333336,5083.6,Maize,0.4,1.612,-2.7880000000000003,False,0.0,8,3
28.349999999999998,83.66666666666667,1.4,4.24,7.133333333333333,28.5,0.3037916666666666,5398.6,Maize,0.4,1.6960000000000002,0.29600000000000026,False,0.0,8,3
28.358333333333334,84.25,55.2,4.26,8.025,28.5,0.30424999999999996,5337.8,Maize,0.4,1.704,-53.496,False,0.0,8,3
27.125,85.5,18.6,3.69,11.4625,28.474999999999998,0.306,4742.2,Maize,0.4,1.476,-17.124000000000002,False,0.0,8,3
28.15833333333333,80.125,1.2000000000000002,4.63,5.7,28.329166666666666,0.3165,5941.7,Maize,0.4,1.852,0.6519999999999999,False,0.0,8,3
29.116666666666664,81.41666666666667,0.1,4.7,5.779166666666666,28.3,0.322,6038.9,Maize,0.4,1.8800000000000001,1.78,False,0.0,8,3
28.858333333333334,83.08333333333333,2.0,4.34,5.204166666666667,28.358333333333334,0.322875,5578.1,Maize,0.4,1.736,-0.264,False,0.0,8,3
29.683333333333334,80.66666666666667,0.1,4.72,5.395833333333333,28.45,0.3249166666666667,5966.6,Maize,0.4,1.888,1.7879999999999998,False,0.0,8,3
29.379166666666666,82.83333333333333,1.0,4.13,4.833333333333333,28.55,0.324125,5165.9,Maize,0.4,1.6520000000000001,0.6520000000000001,False,0.0,8,3
