date,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),ET₀ (mm),wind_speed_10m (km/h),soil_temperature_28_to_100cm (°C),soil_moisture_28_to_100cm (m³/m³),shortwave_radiation_instant (W/m²),crop,Kc,ETc (mm)
2022-04-15,27.28333333333333,32.25,0.0,6.13,9.116666666666667,24.641666666666666,0.24541666666666664,5654.6,Wheat,0.35,2.1454999999999997
2022-04-16,28.474999999999998,30.083333333333332,0.0,6.88,8.450000000000001,24.75,0.24454166666666666,6540.7,Wheat,0.35,2.408
2022-04-17,29.041666666666668,32.291666666666664,0.0,6.65,7.7875000000000005,24.929166666666664,0.242125,6531.5,Wheat,0.35,2.3275
2022-04-18,30.633333333333336,30.208333333333332,0.0,7.26,9.604166666666666,25.0625,0.23841666666666664,6363.5,Wheat,0.35,2.541
2022-04-19,30.604166666666668,32.208333333333336,0.1,6.57,8.725,25.258333333333336,0.23487500000000003,5801.3,Wheat,0.35,2.2995
2022-04-20,30.537499999999998,27.333333333333332,0.0,7.58,10.858333333333334,25.47083333333333,0.233,6113.2,Wheat,0.35,2.653
2022-04-21,28.1875,32.458333333333336,0.0,6.21,13.183333333333332,25.641666666666666,0.23095833333333335,4030.4,Wheat,0.35,2.1734999999999998
2022-04-22,27.729166666666668,33.041666666666664,0.0,6.59,8.6875,25.683333333333334,0.2295,6347.5,Wheat,0.35,2.3064999999999998
2022-04-23,28.616666666666664,29.083333333333332,0.0,7.23,9.716666666666667,25.724999999999998,0.2317916666666667,6499.9,Wheat,0.35,2.5305
2022-04-24,29.037499999999998,27.916666666666668,0.0,7.45,10.029166666666667,25.787499999999998,0.23058333333333336,6737.0,Wheat,0.35,2.6075
2022-04-25,29.925,26.75,0.0,6.66,8.904166666666667,25.837500000000002,0.22845833333333335,5794.2,Wheat,0.35,2.331
2022-04-26,30.491666666666664,25.625,0.0,6.76,6.55,25.941666666666666,0.22595833333333334,6678.3,Wheat,0.35,2.3659999999999997
2022-04-27,30.71666666666667,29.583333333333332,0.0,6.97,7.25,26.070833333333336,0.22370833333333331,6747.7,Wheat,0.35,2.4395
2022-04-28,32.454166666666666,24.375,0.0,7.24,7.758333333333333,26.2375,0.221625,6439.599999999999,Wheat,0.35,2.534
2022-04-29,32.725,23.958333333333332,0.0,7.21,8.008333333333333,26.429166666666664,0.2195,6259.3,Wheat,0.35,2.5235
2022-04-30,32.604166666666664,23.541666666666668,0.0,7.97,10.262500000000001,26.641666666666666,0.217,6309.0,Wheat,0.35,2.7895
2022-05-01,32.05416666666667,32.166666666666664,0.0,7.56,13.512500000000001,26.866666666666664,0.21533333333333335,5550.0,Wheat,0.35,2.646
2022-05-02,32.27916666666667,33.25,0.0,7.67,14.5375,27.066666666666666,0.21366666666666667,5453.0,Wheat,0.35,2.6845
2022-05-03,30.141666666666666,47.291666666666664,4.9,6.09,14.716666666666667,27.245833333333334,0.213,4992.9,Wheat,0.35,2.1315
2022-05-04,28.545833333333334,47.791666666666664,2.5,5.79,12.174999999999999,27.395833333333332,0.20937499999999998,4826.5,Wheat,0.35,2.0265
2022-05-05,29.504166666666666,37.416666666666664,0.0,6.62,8.0375,27.424999999999997,0.20979166666666668,6371.2,Wheat,0.35,2.3169999999999997
2022-05-06,29.916666666666668,34.166666666666664,0.0,6.44,7.683333333333334,27.5,0.20575,6130.9,Wheat,0.35,2.254
2022-05-07,30.425,34.875,0.0,6.7,7.829166666666667,27.520833333333332,0.20829166666666665,6458.2,Wheat,0.35,2.3449999999999998
2022-05-08,31.808333333333334,35.166666666666664,0.0,7.58,11.6625,27.604166666666668,0.209,6526.2,Wheat,0.35,2.653
2022-05-09,32.09583333333333,41.958333333333336,0.7,6.92,12.275,27.724999999999998,0.20675,6080.6,Wheat,0.35,2.4219999999999997
2022-05-10,31.483333333333334,45.916666666666664,0.30000000000000004,6.140000000000001,9.991666666666667,27.854166666666668,0.204125,5716.6,Wheat,0.35,2.149
2022-05-11,32.80833333333333,41.958333333333336,0.0,7.1,10.575000000000001,28.037499999999998,0.20175,6375.2,Wheat,0.35,2.485
2022-05-12,33.4125,35.916666666666664,0.0,7.69,11.9,28.233333333333334,0.201375,6336.3,Wheat,0.35,2.6915
2022-05-13,33.475,32.291666666666664,0.0,8.040000000000001,11.0,28.4375,0.19979166666666667,6584.7,Wheat,0.35,2.814
2022-05-14,33.43333333333333,22.416666666666668,0.0,8.22,9.429166666666667,28.625,0.19866666666666669,6906.9,Wheat,0.35,2.8770000000000002
2022-05-15,35.833333333333336,21.791666666666668,0.0,8.32,10.0875,28.745833333333334,0.19733333333333336,6723.0,Wheat,0.35,2.912
2022-05-16,33.27916666666667,32.875,0.4,7.61,12.620833333333332,28.94583333333333,0.19620833333333335,5527.4,Wheat,0.35,2.6635
2022-05-17,31.575,33.25,0.5,6.7,11.0,29.120833333333334,0.19520833333333334,5165.5,Wheat,0.35,2.3449999999999998
2022-05-18,32.6625,30.708333333333332,0.0,7.36,9.25,29.224999999999998,0.19825,6250.2,Wheat,0.35,2.576
2022-05-19,33.22083333333333,28.458333333333332,0.0,7.86,10.6625,29.325,0.2011666666666667,6380.400000000001,Wheat,0.35,2.751
2022-05-20,33.96666666666667,22.041666666666668,0.0,8.45,11.15,29.441666666666666,0.20395833333333332,6385.2,Wheat,0.35,2.9574999999999996
2022-05-21,32.3125,25.833333333333332,0.1,7.7,10.525,29.55416666666667,0.20291666666666666,6263.3,Wheat,0.35,2.695
2022-05-22,31.474999999999998,33.208333333333336,0.0,7.49,10.9625,29.600000000000005,0.20804166666666665,6378.0,Wheat,0.35,2.6214999999999997
2022-05-23,25.9875,58.166666666666664,21.4,5.42,16.3125,29.55,0.20745833333333333,4928.3,Wheat,0.35,1.8969999999999998
2022-05-24,23.041666666666668,68.75,5.7,4.29,10.391666666666667,29.179166666666664,0.208,5137.5,Wheat,0.35,1.5014999999999998
2022-05-25,27.47083333333333,48.833333333333336,0.0,5.39,4.983333333333333,28.708333333333332,0.20666666666666667,6447.8,Wheat,0.35,1.8864999999999998
2022-05-26,29.287499999999998,50.333333333333336,0.0,5.74,7.0125,28.433333333333334,0.20529166666666665,6324.8,Wheat,0.35,2.009
2022-05-27,30.97083333333333,48.458333333333336,0.0,6.26,8.666666666666666,28.366666666666664,0.20537499999999997,6342.6,Wheat,0.35,2.191
2022-05-28,31.537499999999998,49.833333333333336,0.2,6.7,11.045833333333334,28.429166666666664,0.20695833333333333,6330.1,Wheat,0.35,2.3449999999999998
2022-05-29,31.620833333333334,48.541666666666664,1.1,6.18,8.779166666666667,28.520833333333332,0.209875,6044.3,Wheat,0.35,2.163
2022-05-30,29.6375,59.125,8.2,4.88,10.991666666666667,28.629166666666666,0.21391666666666667,4904.6,Wheat,0.35,1.708
2022-05-31,31.729166666666668,38.583333333333336,0.0,6.24,6.608333333333333,28.7,0.22670833333333332,6049.5,Wheat,0.35,2.1839999999999997
2022-06-01,31.599999999999998,32.833333333333336,0.0,6.5,6.191666666666666,28.75,0.22929166666666667,6519.2,Wheat,0.35,2.275
2022-06-02,32.358333333333334,26.208333333333332,0.0,7.06,7.191666666666666,28.84166666666667,0.22612500000000002,6476.3,Wheat,0.35,2.4709999999999996
2022-06-03,32.52916666666667,25.166666666666668,0.0,7.49,7.925,28.929166666666664,0.2255,6794.1,Wheat,0.35,2.6214999999999997
2022-06-04,33.583333333333336,23.291666666666668,0.0,7.49,7.654166666666666,29.03333333333333,0.22266666666666668,6674.6,Wheat,0.35,2.6214999999999997
2022-06-05,33.65833333333333,24.25,0.0,7.26,6.845833333333334,29.141666666666666,0.22108333333333333,6756.7,Wheat,0.35,2.541
2022-06-06,33.949999999999996,25.208333333333332,0.0,7.18,6.883333333333333,29.287499999999998,0.22058333333333335,6655.5,Wheat,0.35,2.513
2022-06-07,34.4125,25.416666666666668,0.0,7.3100000000000005,7.604166666666667,29.441666666666666,0.21908333333333332,6440.9,Wheat,0.35,2.5585
2022-06-08,34.25,24.666666666666668,0.0,7.48,8.241666666666667,29.61666666666667,0.21658333333333335,6301.3,Wheat,0.35,2.618
2022-06-09,35.0375,23.458333333333332,0.0,7.59,7.954166666666667,29.77916666666667,0.21429166666666666,6427.7,Wheat,0.35,2.6565
2022-06-10,34.63333333333333,25.041666666666668,0.0,7.39,8.504166666666666,29.9875,0.21145833333333333,6209.3,Wheat,0.35,2.5864999999999996
2022-06-11,34.4375,28.166666666666668,0.0,7.26,9.575,30.179166666666664,0.20933333333333334,5686.6,Wheat,0.35,2.541
2022-06-12,34.43333333333333,28.625,0.0,7.2700000000000005,7.908333333333334,30.34583333333333,0.20737499999999998,6343.9,Wheat,0.35,2.5445
2022-06-13,35.333333333333336,26.708333333333332,0.0,7.74,8.725,30.53333333333333,0.20545833333333333,6335.4,Wheat,0.35,2.709
2022-06-14,35.34583333333333,26.541666666666668,0.0,8.06,9.554166666666667,30.7,0.20454166666666665,6596.9,Wheat,0.35,2.821
2022-06-15,35.75,30.708333333333332,0.0,7.54,9.329166666666667,30.875,0.2015416666666667,6081.4,Wheat,0.35,2.639
2022-06-16,32.71666666666667,44.125,0.5,6.74,10.8125,31.03333333333333,0.19929166666666667,5893.5,Wheat,0.35,2.359
2022-06-17,28.84583333333333,66.04166666666667,0.1,4.63,8.754166666666666,31.041666666666668,0.19820833333333335,4966.2,Wheat,0.35,1.6204999999999998
2022-06-18,25.366666666666664,80.75,14.9,3.52,8.112499999999999,30.691666666666666,0.19899999999999998,4188.7,Wheat,0.35,1.232
2022-06-19,28.025000000000002,64.20833333333333,0.0,4.79,4.116666666666666,30.270833333333332,0.1975,6054.8,Wheat,0.35,1.6764999999999999
2022-06-20,27.84583333333333,63.791666666666664,0.30000000000000004,4.37,6.4624999999999995,29.958333333333332,0.19595833333333335,5073.4,Wheat,0.35,1.5294999999999999
2022-06-21,25.420833333333334,77.20833333333333,5.4,2.94,11.820833333333333,29.662499999999998,0.19699999999999998,3181.8,Wheat,0.35,1.029
2022-06-22,26.77916666666667,72.66666666666667,7.0,4.57,8.0,29.266666666666666,0.1985,5525.5,Wheat,0.35,1.5995
2022-06-23,27.96666666666667,58.5,0.0,5.87,8.5,28.974999999999998,0.19600000000000004,6554.400000000001,Wheat,0.35,2.0545
2022-06-24,28.837500000000002,55.875,0.0,5.82,6.125,28.8125,0.1885,6719.1,Wheat,0.35,2.037
2022-06-25,30.891666666666666,53.708333333333336,0.0,5.82,5.491666666666667,28.724999999999998,0.1785,6597.8,Wheat,0.35,2.037
2022-06-26,32.2125,55.916666666666664,0.1,6.0200000000000005,9.058333333333334,28.825,0.17941666666666667,6099.0,Wheat,0.35,2.107
2022-06-27,32.545833333333334,61.458333333333336,0.0,5.55,7.929166666666667,29.0,0.1785,5859.5,Wheat,0.35,1.9425
2022-06-28,32.916666666666664,62.25,0.8,5.72,8.554166666666667,29.254166666666666,0.1795,5915.5,Wheat,0.35,2.002
2022-06-29,31.383333333333336,67.79166666666667,9.6,6.08,14.520833333333334,29.516666666666666,0.19079166666666666,6168.5,Wheat,0.35,2.1279999999999997
2022-06-30,25.620833333333334,89.41666666666667,50.6,1.6,16.095833333333335,29.570833333333336,0.19795833333333335,1726.8,Wheat,0.35,0.5599999999999999
2022-07-01,27.537499999999998,81.66666666666667,0.7,3.8,7.8500000000000005,29.258333333333336,0.22570833333333332,4888.5,Wheat,0.35,1.3299999999999998
2022-07-02,29.099999999999998,79.125,2.0,4.54,8.604166666666666,29.045833333333334,0.235,5589.8,Wheat,0.35,1.589
2022-07-03,29.175,78.70833333333333,1.8,3.85,8.683333333333334,29.004166666666666,0.23858333333333334,4479.4,Wheat,0.35,1.3475
2022-07-04,30.516666666666666,75.16666666666667,0.30000000000000004,4.78,6.425,29.0,0.24120833333333333,5798.9,Wheat,0.35,1.673
2022-07-05,31.400000000000002,71.04166666666667,0.0,4.99,7.683333333333334,29.108333333333334,0.24149999999999996,5691.0,Wheat,0.35,1.7465
2022-07-06,29.224999999999998,81.16666666666667,3.3,4.3100000000000005,8.4125,29.2,0.244375,5208.8,Wheat,0.35,1.5085000000000002
2022-07-07,30.349999999999998,76.04166666666667,14.3,4.53,7.0874999999999995,29.191666666666666,0.24533333333333332,5551.9,Wheat,0.35,1.5855
